[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2210 | tau_c_delay_=200 | t_past=2010 | c_current=0 | c_delayed=0 | n=0.131457
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2210 | tau_c_delay_=200 | t_past=2010 | c_current=7.39405 | c_delayed=-11.61 | n=0.131457
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2210 | tau_c_delay_=200 | t_past=2010 | c_current=0.00456282 | c_delayed=6.36975 | n=0.131457
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2210 | tau_c_delay_=200 | t_past=2010 | c_current=0 | c_delayed=0 | n=0.131457
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2210 | tau_c_delay_=200 | t_past=2010 | c_current=-4.29588 | c_delayed=0 | n=0.131457
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2210 | tau_c_delay_=200 | t_past=2010 | c_current=0 | c_delayed=0 | n=0.131457
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2211 | tau_c_delay_=200 | t_past=2011 | c_current=0 | c_delayed=0 | n=0.118947
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2211 | tau_c_delay_=200 | t_past=2011 | c_current=0 | c_delayed=0 | n=0.118947
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2211 | tau_c_delay_=200 | t_past=2011 | c_current=2.70809e-32 | c_delayed=5.609e-28 | n=0.118947
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2211 | tau_c_delay_=200 | t_past=2011 | c_current=0 | c_delayed=0 | n=0.118947
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2211 | tau_c_delay_=200 | t_past=2011 | c_current=7.03344 | c_delayed=-12.3845 | n=0.118947
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2211 | tau_c_delay_=200 | t_past=2011 | c_current=0.00434029 | c_delayed=6.0591 | n=0.118947
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2211 | tau_c_delay_=200 | t_past=2011 | c_current=0 | c_delayed=0 | n=0.118947
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2211 | tau_c_delay_=200 | t_past=2011 | c_current=-4.86337 | c_delayed=0 | n=0.118947
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2211 | tau_c_delay_=200 | t_past=2011 | c_current=0 | c_delayed=0 | n=0.118947
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2212 | tau_c_delay_=200 | t_past=2012 | c_current=0 | c_delayed=0 | n=0.298849
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2212 | tau_c_delay_=200 | t_past=2012 | c_current=0 | c_delayed=0 | n=0.298849
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2212 | tau_c_delay_=200 | t_past=2012 | c_current=2.57602e-32 | c_delayed=5.33545e-28 | n=0.298849
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2212 | tau_c_delay_=200 | t_past=2012 | c_current=0 | c_delayed=0 | n=0.298849
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2212 | tau_c_delay_=200 | t_past=2012 | c_current=6.69041 | c_delayed=-13.0558 | n=0.298849
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2212 | tau_c_delay_=200 | t_past=2012 | c_current=0.00412861 | c_delayed=5.76359 | n=0.298849
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2212 | tau_c_delay_=200 | t_past=2012 | c_current=0 | c_delayed=0 | n=0.298849
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2212 | tau_c_delay_=200 | t_past=2012 | c_current=-5.36529 | c_delayed=0 | n=0.298849
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2212 | tau_c_delay_=200 | t_past=2012 | c_current=0 | c_delayed=0 | n=0.298849
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2213 | tau_c_delay_=200 | t_past=2013 | c_current=0 | c_delayed=0 | n=0.27041
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2213 | tau_c_delay_=200 | t_past=2013 | c_current=0 | c_delayed=0 | n=0.27041
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2213 | tau_c_delay_=200 | t_past=2013 | c_current=2.45038e-32 | c_delayed=5.07523e-28 | n=0.27041
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2213 | tau_c_delay_=200 | t_past=2013 | c_current=0 | c_delayed=0 | n=0.27041
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2213 | tau_c_delay_=200 | t_past=2013 | c_current=6.36412 | c_delayed=-13.6322 | n=0.27041
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2213 | tau_c_delay_=200 | t_past=2013 | c_current=0.00392726 | c_delayed=5.4825 | n=0.27041
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2213 | tau_c_delay_=200 | t_past=2013 | c_current=0 | c_delayed=0 | n=0.27041
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2213 | tau_c_delay_=200 | t_past=2013 | c_current=-5.80668 | c_delayed=0 | n=0.27041
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2213 | tau_c_delay_=200 | t_past=2013 | c_current=0 | c_delayed=0 | n=0.27041
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2214 | tau_c_delay_=200 | t_past=2014 | c_current=0 | c_delayed=0 | n=0.244677
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2214 | tau_c_delay_=200 | t_past=2014 | c_current=0 | c_delayed=0 | n=0.244677
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2214 | tau_c_delay_=200 | t_past=2014 | c_current=2.33088e-32 | c_delayed=4.82771e-28 | n=0.244677
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2214 | tau_c_delay_=200 | t_past=2014 | c_current=0 | c_delayed=0 | n=0.244677
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2214 | tau_c_delay_=200 | t_past=2014 | c_current=6.05374 | c_delayed=-14.1213 | n=0.244677
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2214 | tau_c_delay_=200 | t_past=2014 | c_current=0.00373572 | c_delayed=5.21511 | n=0.244677
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2214 | tau_c_delay_=200 | t_past=2014 | c_current=0 | c_delayed=0 | n=0.244677
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2214 | tau_c_delay_=200 | t_past=2014 | c_current=-6.19226 | c_delayed=0 | n=0.244677
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2214 | tau_c_delay_=200 | t_past=2014 | c_current=0 | c_delayed=0 | n=0.244677
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2215 | tau_c_delay_=200 | t_past=2015 | c_current=0 | c_delayed=0 | n=0.221393
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2215 | tau_c_delay_=200 | t_past=2015 | c_current=0 | c_delayed=0 | n=0.221393
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2215 | tau_c_delay_=200 | t_past=2015 | c_current=2.2172e-32 | c_delayed=4.59226e-28 | n=0.221393
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2215 | tau_c_delay_=200 | t_past=2015 | c_current=0 | c_delayed=0 | n=0.221393
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2215 | tau_c_delay_=200 | t_past=2015 | c_current=5.75849 | c_delayed=-14.5303 | n=0.221393
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2215 | tau_c_delay_=200 | t_past=2015 | c_current=0.00355353 | c_delayed=4.96077 | n=0.221393
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2215 | tau_c_delay_=200 | t_past=2015 | c_current=0 | c_delayed=0 | n=0.221393
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2215 | tau_c_delay_=200 | t_past=2015 | c_current=-6.52641 | c_delayed=0 | n=0.221393
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2215 | tau_c_delay_=200 | t_past=2015 | c_current=0 | c_delayed=0 | n=0.221393
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2216 | tau_c_delay_=200 | t_past=2016 | c_current=0 | c_delayed=0 | n=0.200324
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2216 | tau_c_delay_=200 | t_past=2016 | c_current=0 | c_delayed=0 | n=0.200324
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2216 | tau_c_delay_=200 | t_past=2016 | c_current=2.10906e-32 | c_delayed=4.36829e-28 | n=0.200324
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2216 | tau_c_delay_=200 | t_past=2016 | c_current=0 | c_delayed=0 | n=0.200324
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2216 | tau_c_delay_=200 | t_past=2016 | c_current=5.47765 | c_delayed=-14.8658 | n=0.200324
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2216 | tau_c_delay_=200 | t_past=2016 | c_current=0.00338022 | c_delayed=4.71883 | n=0.200324
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2216 | tau_c_delay_=200 | t_past=2016 | c_current=0 | c_delayed=0 | n=0.200324
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2216 | tau_c_delay_=200 | t_past=2016 | c_current=-6.81325 | c_delayed=0 | n=0.200324
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2216 | tau_c_delay_=200 | t_past=2016 | c_current=0 | c_delayed=0 | n=0.200324
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2217 | tau_c_delay_=200 | t_past=2017 | c_current=0 | c_delayed=0 | n=0.181261
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2217 | tau_c_delay_=200 | t_past=2017 | c_current=0 | c_delayed=0 | n=0.181261
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2217 | tau_c_delay_=200 | t_past=2017 | c_current=2.0062e-32 | c_delayed=4.15525e-28 | n=0.181261
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2217 | tau_c_delay_=200 | t_past=2017 | c_current=0 | c_delayed=0 | n=0.181261
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2217 | tau_c_delay_=200 | t_past=2017 | c_current=5.2105 | c_delayed=-15.134 | n=0.181261
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2217 | tau_c_delay_=200 | t_past=2017 | c_current=0.00321536 | c_delayed=4.48869 | n=0.181261
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2217 | tau_c_delay_=200 | t_past=2017 | c_current=0 | c_delayed=0 | n=0.181261
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2217 | tau_c_delay_=200 | t_past=2017 | c_current=-7.05658 | c_delayed=0 | n=0.181261
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2217 | tau_c_delay_=200 | t_past=2017 | c_current=0 | c_delayed=0 | n=0.181261
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2218 | tau_c_delay_=200 | t_past=2018 | c_current=0 | c_delayed=0 | n=0.164012
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2218 | tau_c_delay_=200 | t_past=2018 | c_current=0 | c_delayed=0 | n=0.164012
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2218 | tau_c_delay_=200 | t_past=2018 | c_current=1.90836e-32 | c_delayed=3.9526e-28 | n=0.164012
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2218 | tau_c_delay_=200 | t_past=2018 | c_current=0 | c_delayed=0 | n=0.164012
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2218 | tau_c_delay_=200 | t_past=2018 | c_current=4.95638 | c_delayed=-15.3407 | n=0.164012
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2218 | tau_c_delay_=200 | t_past=2018 | c_current=0.00305855 | c_delayed=4.26977 | n=0.164012
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2218 | tau_c_delay_=200 | t_past=2018 | c_current=0 | c_delayed=0 | n=0.164012
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2218 | tau_c_delay_=200 | t_past=2018 | c_current=-7.25997 | c_delayed=0 | n=0.164012
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2218 | tau_c_delay_=200 | t_past=2018 | c_current=0 | c_delayed=0 | n=0.164012
