[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2210 | tau_c_delay_=200 | t_past=2010 | c_current=0.00426517 | c_delayed=-0.504254 | n=0.131457
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2210 | tau_c_delay_=200 | t_past=2010 | c_current=0 | c_delayed=0 | n=0.131457
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2210 | tau_c_delay_=200 | t_past=2010 | c_current=-5.41906 | c_delayed=0 | n=0.131457
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2210 | tau_c_delay_=200 | t_past=2010 | c_current=0 | c_delayed=0 | n=0.131457
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2211 | tau_c_delay_=200 | t_past=2011 | c_current=0 | c_delayed=0 | n=0.118947
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2211 | tau_c_delay_=200 | t_past=2011 | c_current=0 | c_delayed=0 | n=0.118947
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2211 | tau_c_delay_=200 | t_past=2011 | c_current=3.07659e-32 | c_delayed=8.8834e-26 | n=0.118947
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2211 | tau_c_delay_=200 | t_past=2011 | c_current=0 | c_delayed=0 | n=0.118947
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2211 | tau_c_delay_=200 | t_past=2011 | c_current=6.90698 | c_delayed=0 | n=0.118947
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2211 | tau_c_delay_=200 | t_past=2011 | c_current=0.00405715 | c_delayed=-2.27291 | n=0.118947
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2211 | tau_c_delay_=200 | t_past=2011 | c_current=0 | c_delayed=0 | n=0.118947
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2211 | tau_c_delay_=200 | t_past=2011 | c_current=-5.86288 | c_delayed=0 | n=0.118947
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2211 | tau_c_delay_=200 | t_past=2011 | c_current=0 | c_delayed=0 | n=0.118947
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2212 | tau_c_delay_=200 | t_past=2012 | c_current=0 | c_delayed=0 | n=0.298849
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2212 | tau_c_delay_=200 | t_past=2012 | c_current=0 | c_delayed=0 | n=0.298849
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2212 | tau_c_delay_=200 | t_past=2012 | c_current=2.92654e-32 | c_delayed=8.45015e-26 | n=0.298849
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2212 | tau_c_delay_=200 | t_past=2012 | c_current=0 | c_delayed=0 | n=0.298849
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2212 | tau_c_delay_=200 | t_past=2012 | c_current=6.57012 | c_delayed=0 | n=0.298849
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2212 | tau_c_delay_=200 | t_past=2012 | c_current=0.00385928 | c_delayed=-3.86785 | n=0.298849
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2212 | tau_c_delay_=200 | t_past=2012 | c_current=0 | c_delayed=0 | n=0.298849
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2212 | tau_c_delay_=200 | t_past=2012 | c_current=-6.25052 | c_delayed=0 | n=0.298849
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2212 | tau_c_delay_=200 | t_past=2012 | c_current=0 | c_delayed=0 | n=0.298849
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2213 | tau_c_delay_=200 | t_past=2013 | c_current=0 | c_delayed=0 | n=0.27041
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2213 | tau_c_delay_=200 | t_past=2013 | c_current=0 | c_delayed=0 | n=0.27041
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2213 | tau_c_delay_=200 | t_past=2013 | c_current=2.78381e-32 | c_delayed=8.03803e-26 | n=0.27041
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2213 | tau_c_delay_=200 | t_past=2013 | c_current=0 | c_delayed=0 | n=0.27041
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2213 | tau_c_delay_=200 | t_past=2013 | c_current=6.24969 | c_delayed=0 | n=0.27041
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2213 | tau_c_delay_=200 | t_past=2013 | c_current=0.00367107 | c_delayed=-5.3018 | n=0.27041
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2213 | tau_c_delay_=200 | t_past=2013 | c_current=0 | c_delayed=0 | n=0.27041
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2213 | tau_c_delay_=200 | t_past=2013 | c_current=-6.5864 | c_delayed=0 | n=0.27041
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2213 | tau_c_delay_=200 | t_past=2013 | c_current=0 | c_delayed=0 | n=0.27041
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2214 | tau_c_delay_=200 | t_past=2014 | c_current=0 | c_delayed=0 | n=0.244677
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2214 | tau_c_delay_=200 | t_past=2014 | c_current=0 | c_delayed=0 | n=0.244677
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2214 | tau_c_delay_=200 | t_past=2014 | c_current=2.64804e-32 | c_delayed=7.69654e-26 | n=0.244677
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2214 | tau_c_delay_=200 | t_past=2014 | c_current=0 | c_delayed=0 | n=0.244677
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2214 | tau_c_delay_=200 | t_past=2014 | c_current=5.94489 | c_delayed=0 | n=0.244677
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2214 | tau_c_delay_=200 | t_past=2014 | c_current=0.00349203 | c_delayed=9.01664 | n=0.244677
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2214 | tau_c_delay_=200 | t_past=2014 | c_current=0 | c_delayed=0 | n=0.244677
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2214 | tau_c_delay_=200 | t_past=2014 | c_current=-6.87465 | c_delayed=0 | n=0.244677
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2214 | tau_c_delay_=200 | t_past=2014 | c_current=0 | c_delayed=0 | n=0.244677
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2215 | tau_c_delay_=200 | t_past=2015 | c_current=0 | c_delayed=0 | n=0.221393
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2215 | tau_c_delay_=200 | t_past=2015 | c_current=0 | c_delayed=0 | n=0.221393
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2215 | tau_c_delay_=200 | t_past=2015 | c_current=2.5189e-32 | c_delayed=7.32117e-26 | n=0.221393
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2215 | tau_c_delay_=200 | t_past=2015 | c_current=0 | c_delayed=0 | n=0.221393
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2215 | tau_c_delay_=200 | t_past=2015 | c_current=5.65495 | c_delayed=0 | n=0.221393
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2215 | tau_c_delay_=200 | t_past=2015 | c_current=0.00332172 | c_delayed=6.3553 | n=0.221393
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2215 | tau_c_delay_=200 | t_past=2015 | c_current=0 | c_delayed=0 | n=0.221393
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2215 | tau_c_delay_=200 | t_past=2015 | c_current=-7.11912 | c_delayed=0 | n=0.221393
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2215 | tau_c_delay_=200 | t_past=2015 | c_current=0 | c_delayed=0 | n=0.221393
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2216 | tau_c_delay_=200 | t_past=2016 | c_current=0 | c_delayed=0 | n=0.200324
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2216 | tau_c_delay_=200 | t_past=2016 | c_current=0 | c_delayed=0 | n=0.200324
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2216 | tau_c_delay_=200 | t_past=2016 | c_current=2.39605e-32 | c_delayed=6.96411e-26 | n=0.200324
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2216 | tau_c_delay_=200 | t_past=2016 | c_current=0 | c_delayed=0 | n=0.200324
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2216 | tau_c_delay_=200 | t_past=2016 | c_current=5.37916 | c_delayed=0 | n=0.200324
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2216 | tau_c_delay_=200 | t_past=2016 | c_current=0.00315972 | c_delayed=3.9321 | n=0.200324
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2216 | tau_c_delay_=200 | t_past=2016 | c_current=0 | c_delayed=0 | n=0.200324
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2216 | tau_c_delay_=200 | t_past=2016 | c_current=-7.32339 | c_delayed=0 | n=0.200324
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2216 | tau_c_delay_=200 | t_past=2016 | c_current=0 | c_delayed=0 | n=0.200324
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2217 | tau_c_delay_=200 | t_past=2017 | c_current=0 | c_delayed=0 | n=0.181261
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2217 | tau_c_delay_=200 | t_past=2017 | c_current=0 | c_delayed=0 | n=0.181261
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2217 | tau_c_delay_=200 | t_past=2017 | c_current=2.27919e-32 | c_delayed=6.62447e-26 | n=0.181261
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2217 | tau_c_delay_=200 | t_past=2017 | c_current=0 | c_delayed=0 | n=0.181261
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2217 | tau_c_delay_=200 | t_past=2017 | c_current=5.11681 | c_delayed=0 | n=0.181261
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2217 | tau_c_delay_=200 | t_past=2017 | c_current=0.00300561 | c_delayed=1.73014 | n=0.181261
